max_depth	min_split	ganancia_promedio
4	500	47096000
4	400	46955000
4	300	46881000
4	200	46957000
6	500	48986000
6	400	48980500
6	300	49065000
6	200	48886000
8	500	48939000
8	400	48207000
8	300	49498500
8	200	48371000
10	500	47858000
10	400	47226000
10	300	47907500
10	200	46266000
12	500	47684000
12	400	47078500
12	300	47761500
12	200	45173000
14	500	47684000
14	400	46988000
14	300	47689500
14	200	44886000
4	500	47096000
4	400	46955000
4	300	46881000
4	200	46957000
6	500	48986000
6	400	48980500
6	300	49065000
6	200	48886000
8	500	48939000
8	400	48207000
8	300	49498500
8	200	48371000
10	500	47858000
10	400	47226000
10	300	47907500
10	200	46266000
12	500	47684000
12	400	47078500
12	300	47761500
12	200	45173000
14	500	47684000
14	400	46988000
14	300	47689500
14	200	44886000
4	500	47096000
4	400	46955000
4	300	46881000
4	200	46957000
6	500	48986000
6	400	48980500
6	300	49065000
6	200	48886000
8	500	48939000
8	400	48207000
8	300	49498500
8	200	48371000
10	500	47858000
10	400	47226000
10	300	47907500
10	200	46266000
12	500	47684000
12	400	47078500
12	300	47761500
12	200	45173000
14	500	47684000
14	400	46988000
14	300	47689500
14	200	44886000
4	500	47096000
4	400	46955000
4	300	46881000
4	200	46957000
6	500	48986000
6	400	48980500
6	300	49065000
6	200	48886000
8	500	48939000
8	400	48207000
8	300	49498500
8	200	48371000
10	500	47858000
10	400	47226000
10	300	47907500
10	200	46266000
12	500	47684000
12	400	47078500
12	300	47761500
12	200	45173000
14	500	47684000
14	400	46988000
14	300	47689500
14	200	44886000
