max_depth	min_split	min_bucket	ganancia_promedio
4	1000	500	46713000
4	800	400	46817000
4	600	300	46874500
4	400	200	46929500
6	1000	500	47941000
6	800	400	47847500
6	600	300	48063500
6	400	200	47050000
8	1000	500	46212500
8	800	400	46624500
8	600	300	45426500
8	400	200	43851500
10	1000	500	45678000
10	800	400	45899500
10	600	300	44282000
10	400	200	41843000
12	1000	500	45678000
12	800	400	45787000
12	600	300	44215500
12	400	200	41252000
14	1000	500	45678000
14	800	400	45787000
14	600	300	44158500
14	400	200	41085000
4	1000	500	46713000
4	800	400	46817000
4	600	300	46874500
4	400	200	46929500
6	1000	500	47941000
6	800	400	47847500
6	600	300	48063500
6	400	200	47050000
8	1000	500	46212500
8	800	400	46624500
8	600	300	45426500
8	400	200	43851500
10	1000	500	45678000
10	800	400	45899500
10	600	300	44282000
10	400	200	41843000
12	1000	500	45678000
12	800	400	45787000
12	600	300	44215500
12	400	200	41252000
14	1000	500	45678000
14	800	400	45787000
14	600	300	44158500
14	400	200	41085000
4	1000	500	46713000
4	800	400	46817000
4	600	300	46874500
4	400	200	46929500
6	1000	500	47941000
6	800	400	47847500
6	600	300	48063500
6	400	200	47050000
8	1000	500	46212500
8	800	400	46624500
8	600	300	45426500
8	400	200	43851500
10	1000	500	45678000
10	800	400	45899500
10	600	300	44282000
10	400	200	41843000
12	1000	500	45678000
12	800	400	45787000
12	600	300	44215500
12	400	200	41252000
14	1000	500	45678000
14	800	400	45787000
14	600	300	44158500
14	400	200	41085000
4	1000	500	46713000
4	800	400	46817000
4	600	300	46874500
4	400	200	46929500
6	1000	500	47941000
6	800	400	47847500
6	600	300	48063500
6	400	200	47050000
8	1000	500	46212500
8	800	400	46624500
8	600	300	45426500
8	400	200	43851500
10	1000	500	45678000
10	800	400	45899500
10	600	300	44282000
10	400	200	41843000
12	1000	500	45678000
12	800	400	45787000
12	600	300	44215500
12	400	200	41252000
14	1000	500	45678000
14	800	400	45787000
14	600	300	44158500
14	400	200	41085000
