fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 010757	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	252	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.369051733532166	0.626270472669103	883	853	13092	58175694.1529235	1
20240512 011127	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	116	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.391884167825782	0.668929897402976	26	1776	10720	59122578.7106447	2
20240512 013221	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	419	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.186610890164754	0.676489830077599	1151	1104	10319	59542670.1649175	3
20240512 024331	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1312	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0687140657805199	0.518610999755582	1223	1539	10676	62480665.6671664	5
20240512 040151	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1213	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0247174934929327	0.610930643643619	1807	661	11270	64350299.850075	7
20240512 062448	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	514	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200034271438375	0.760448810977853	2013	1448	12094	64962617.6911544	17
20240512 103644	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200436878639999	0.779044595849108	389	1639	10940	65010224.8875562	25
20240512 120048	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200193256875138	0.612972017372549	656	102	10754	65223997.0014993	29
20240512 130005	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201053117182834	0.500067770105572	432	244	12225	65427188.9055472	32
20240512 162145	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1336	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201318812789121	0.500284241873253	204	1998	10529	65519986.5067466	37
20240512 193014	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	564	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0200741529617017	0.583903272073003	326	2000	13292	65556983.5082459	42
20240512 194727	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	293	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0201347797140999	0.585114781800392	294	1999	12072	65746338.8305847	43
20240513 040316	1059	1432509	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0203762436037398	0.500809409395258	2048	1135	12545	66042481.2593703	60
