fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 161815	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.369051733532166	0.626270472669103	883	853	7701	24957689.6551724	1
20240513 162216	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.391884167825782	0.668929897402976	26	1776	7906	27881280.3598201	2
20240513 164139	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	272	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.186610890164754	0.676489830077599	1151	1104	5877	28940454.2728636	3
20240513 165428	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.268781542032156	0.795688369696304	606	473	9106	26450695.6521739	4
20240513 171617	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0687140657805199	0.518610999755582	1223	1539	6702	30505934.0329835	5
20240513 172801	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.247816434832248	0.870575953631149	662	1279	10334	27019529.2353823	6
20240513 175252	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	179	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.0247174934929327	0.610930643643619	1807	661	8709	30678877.0614693	7
20240513 180228	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.464330810415747	0.737001579824446	331	972	6873	23915692.6536732	8
20240513 182112	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	322	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.291299896026118	0.705052758951432	1444	1309	7022	27758947.5262369	9
20240513 183606	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.349729353446445	0.525876794268231	1336	300	8258	21806569.7151424	10
20240513 185141	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.11750098622176	0.82218692680236	1639	216	9216	29081355.3223388	11
20240513 190048	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.164848904837522	0.771637164143736	413	1469	8349	30303764.6176912	12
20240513 191048	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.413592024621819	0.831394646184073	1693	1890	8681	22901527.7361319	13
20240513 192716	1059	1967082	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	FALSE	1	0.1	50	0.5	FALSE	999961	0.226217250093629	0.572286524736694	1939	1708	9098	27590317.8410795	14
